n,fraction,vanilla_full_rq,vanilla_full_time,vanilla_k_rq,vanilla_k_time,gdbscan_k_rq,gdbscan_k_time
98,0.1,98.0,0.04148445129394531,98.0,0.041780281066894534,20.0,0.010308980941772461
246,0.25,246.0,0.27128005027770996,109.0,0.11490898132324219,67.0,0.07369694709777833
493,0.5,493.0,1.030156135559082,88.0,0.1858992576599121,175.0,0.3808296203613281
740,0.75,740.0,2.404493236541748,234.0,0.7685074806213379,265.0,0.9106217861175537
987,1.0,986.0,6.000563049316407,242.0,1.0866121768951416,346.0,1.5821762561798096
