eps,minPts,vanilla_time,opt_time,vanilla_rq,opt_rq
0.3,3,0.2727659543355306,1.034741957982381,58.0,228.0
0.3,5,0.26068878173828125,1.0467615127563477,58.0,226.0
0.3,8,0.9414395491282145,0.9194421768188477,211.0,203.0
0.3,10,0.9731478691101074,0.9939390818277994,219.0,199.0
0.5,3,0.28465525309244794,1.6375535329182942,59.0,363.0
0.5,5,0.26847275098164874,1.352222998936971,59.0,300.0
0.5,8,0.8180411656697592,1.348966916402181,178.0,298.0
0.5,10,1.2926183541615803,1.2634366353352864,291.0,282.0
0.7,3,0.26319106419881183,2.4345596631368003,59.0,547.0
0.7,5,0.2593565781911214,2.323152542114258,59.0,517.0
0.7,8,1.9584940274556477,2.145798603693644,439.0,478.0
0.7,10,2.1783854961395264,2.25823966662089,450.0,477.0
1.0,3,0.29420916239420575,3.1496125857035318,65.0,701.0
1.0,5,0.29966052373250324,3.0607265631357827,65.0,684.0
1.0,8,2.8694424629211426,3.231940746307373,635.0,672.0
1.0,10,2.902036984761556,2.7415851751963296,539.0,589.0
