n,fraction,vanilla_full_rq,vanilla_full_time,vanilla_k_rq,vanilla_k_time,gdbscan_k_rq,gdbscan_k_time
98,0.1,98.0,0.0489534854888916,98.0,0.05259823799133301,20.0,0.011005544662475586
246,0.25,246.0,0.3042136192321777,109.0,0.13537955284118652,67.0,0.08121223449707031
493,0.5,493.0,1.3580595016479493,88.0,0.21503677368164062,175.0,0.4439531326293945
740,0.75,740.0,2.7436594486236574,234.0,0.8934178829193116,265.0,0.998497724533081
987,1.0,986.0,4.992177820205688,242.0,1.189137077331543,346.0,1.8113408088684082
