eps,minPts,vanilla_time,opt_time,vanilla_rq,opt_rq
0.3,3,0.25287588437398273,0.9985328515370687,58.0,228.0
0.3,5,0.2509543100992839,0.9828899701436361,58.0,226.0
0.3,8,0.9216688474019369,0.8780014514923096,211.0,203.0
0.3,10,0.9359000523885092,0.8613030910491943,219.0,199.0
0.5,3,0.25139625867207843,1.5694297949473064,59.0,363.0
0.5,5,0.24875275293986002,1.2992096741994221,59.0,300.0
0.5,8,0.753922700881958,1.2679386138916016,178.0,298.0
0.5,10,1.2284904321034749,1.2167954444885254,291.0,282.0
0.7,3,0.2518126169840495,2.3252779642740884,59.0,543.0
0.7,5,0.24698885281880698,2.182896455128988,59.0,513.0
0.7,8,1.8754136562347412,2.0067164103190103,439.0,474.0
0.7,10,1.9045838514963787,2.019228458404541,450.0,473.0
1.0,3,0.274105707804362,2.8557162284851074,65.0,665.0
1.0,5,0.2780844370524089,2.7375640869140625,65.0,648.0
1.0,8,2.711414019266764,2.718650976816813,635.0,636.0
1.0,10,2.2777520020802817,2.200824499130249,539.0,519.0
