Dataset,n,eps,minPts,k,Vanilla time (s),Opt time (s),Speedup,Vanilla RQ,Opt RQ,RQ reduction,Vanilla clusters,Opt clusters
Atlanta,987,0.5,5,5,0.8162,1.7190,0.47x,186,391,-110.2%,5,5
NYC,9453,0.5,5,5,214.6881,250.7625,0.86x,5075,6041,-19.0%,5,5
Chicago,2864,0.5,5,5,21.6125,22.4009,0.96x,1753,1802,-2.8%,5,5
Sparse (70% noise),800,1.0,5,5,1.1111,1.1109,1.00x,317,309,2.5%,5,5
Sparse (80% noise),1000,1.0,5,5,1.4641,1.3510,1.08x,340,298,12.4%,5,5
Dense (10 clusters),1000,1.0,5,5,2.6186,2.2533,1.16x,601,500,16.8%,5,5
Varied density (5 clust),1000,1.0,5,5,1.4893,1.5206,0.98x,343,342,0.3%,5,5
